file_no,relative_path,top_folder,sub_folder,country,state,district,year,quarter,row_count_extracted,status,error
46,aggregated\insurance\country\india\state\andhra-pradesh\2022\1.json,aggregated,insurance,India,Andhra Pradesh,,2022,1,1,success,
47,aggregated\insurance\country\india\state\andhra-pradesh\2022\2.json,aggregated,insurance,India,Andhra Pradesh,,2022,2,1,success,
48,aggregated\insurance\country\india\state\andhra-pradesh\2022\3.json,aggregated,insurance,India,Andhra Pradesh,,2022,3,1,success,
49,aggregated\insurance\country\india\state\andhra-pradesh\2022\4.json,aggregated,insurance,India,Andhra Pradesh,,2022,4,1,success,
50,aggregated\insurance\country\india\state\andhra-pradesh\2023\1.json,aggregated,insurance,India,Andhra Pradesh,,2023,1,1,success,
51,aggregated\insurance\country\india\state\andhra-pradesh\2023\2.json,aggregated,insurance,India,Andhra Pradesh,,2023,2,1,success,
52,aggregated\insurance\country\india\state\andhra-pradesh\2023\3.json,aggregated,insurance,India,Andhra Pradesh,,2023,3,1,success,
53,aggregated\insurance\country\india\state\andhra-pradesh\2023\4.json,aggregated,insurance,India,Andhra Pradesh,,2023,4,1,success,
54,aggregated\insurance\country\india\state\andhra-pradesh\2024\1.json,aggregated,insurance,India,Andhra Pradesh,,2024,1,1,success,
55,aggregated\insurance\country\india\state\andhra-pradesh\2024\2.json,aggregated,insurance,India,Andhra Pradesh,,2024,2,1,success,
56,aggregated\insurance\country\india\state\andhra-pradesh\2024\3.json,aggregated,insurance,India,Andhra Pradesh,,2024,3,1,success,
57,aggregated\insurance\country\india\state\andhra-pradesh\2024\4.json,aggregated,insurance,India,Andhra Pradesh,,2024,4,1,success,
58,aggregated\insurance\country\india\state\arunachal-pradesh\2020\2.json,aggregated,insurance,India,Arunachal Pradesh,,2020,2,1,success,
59,aggregated\insurance\country\india\state\arunachal-pradesh\2020\3.json,aggregated,insurance,India,Arunachal Pradesh,,2020,3,1,success,
60,aggregated\insurance\country\india\state\arunachal-pradesh\2020\4.json,aggregated,insurance,India,Arunachal Pradesh,,2020,4,1,success,
61,aggregated\insurance\country\india\state\arunachal-pradesh\2021\1.json,aggregated,insurance,India,Arunachal Pradesh,,2021,1,1,success,
62,aggregated\insurance\country\india\state\arunachal-pradesh\2021\2.json,aggregated,insurance,India,Arunachal Pradesh,,2021,2,1,success,
63,aggregated\insurance\country\india\state\arunachal-pradesh\2021\3.json,aggregated,insurance,India,Arunachal Pradesh,,2021,3,1,success,
64,aggregated\insurance\country\india\state\arunachal-pradesh\2021\4.json,aggregated,insurance,India,Arunachal Pradesh,,2021,4,1,success,
65,aggregated\insurance\country\india\state\arunachal-pradesh\2022\1.json,aggregated,insurance,India,Arunachal Pradesh,,2022,1,1,success,
66,aggregated\insurance\country\india\state\arunachal-pradesh\2022\2.json,aggregated,insurance,India,Arunachal Pradesh,,2022,2,1,success,
67,aggregated\insurance\country\india\state\arunachal-pradesh\2022\3.json,aggregated,insurance,India,Arunachal Pradesh,,2022,3,1,success,
68,aggregated\insurance\country\india\state\arunachal-pradesh\2022\4.json,aggregated,insurance,India,Arunachal Pradesh,,2022,4,1,success,
